ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,duration
7CB5D1B854FCFCAD,classic_bike,"2022-03-07 13:28:49","2022-03-07 13:35:23","17th & K St NW",31213,"New Hampshire Ave & T St NW",31229,38.90276,-77.03863,38.915544,-77.038252,member,394
A714E198829124C4,classic_bike,"2022-03-08 17:10:18","2022-03-08 17:18:33","17th & K St NW",31213,"New Hampshire Ave & T St NW",31229,38.90276,-77.03863,38.915544,-77.038252,member,495
3F18BFC882611592,classic_bike,"2022-03-07 17:10:30","2022-03-07 17:18:40","17th & K St NW",31213,"New Hampshire Ave & T St NW",31229,38.90276,-77.03863,38.915544,-77.038252,member,490
285DC2525467EB1F,classic_bike,"2022-03-07 15:08:30","2022-03-07 15:15:09","17th & K St NW",31213,"New Hampshire Ave & T St NW",31229,38.90276,-77.03863,38.915544,-77.038252,casual,399
6E93590BB7FCB4BA,classic_bike,"2022-03-07 15:56:59","2022-03-07 16:05:34","17th & K St NW",31213,"New Hampshire Ave & T St NW",31229,38.90276,-77.03863,38.915544,-77.038252,member,515
5C8298B826FF29C7,classic_bike,"2022-03-07 11:11:32","2022-03-07 11:21:50","L'Enfant Plaza / 7th & C St SW",31218,"L'Enfant Plaza / 7th & C St SW",31218,38.886266,-77.022241,38.886266,-77.022241,casual,618
FB4C356AC644349C,classic_bike,"2022-03-08 14:34:49","2022-03-08 14:41:31","L'Enfant Plaza / 7th & C St SW",31218,"L'Enfant Plaza / 7th & C St SW",31218,38.886266,-77.022241,38.886266,-77.022241,casual,402
CC909A2371B2D7D6,classic_bike,"2022-03-08 14:34:35","2022-03-08 14:41:30","L'Enfant Plaza / 7th & C St SW",31218,"L'Enfant Plaza / 7th & C St SW",31218,38.886266,-77.022241,38.886266,-77.022241,casual,415
EF000518A324F20C,classic_bike,"2022-03-07 11:12:46","2022-03-07 11:21:53","L'Enfant Plaza / 7th & C St SW",31218,"L'Enfant Plaza / 7th & C St SW",31218,38.886266,-77.022241,38.886266,-77.022241,casual,547
FF6C8651E98A41A9,classic_bike,"2022-03-07 14:37:07","2022-03-07 14:44:56","New Hampshire Ave & T St NW",31229,"17th & K St NW",31213,38.915544,-77.038252,38.90276,-77.03863,member,469
18155AEB0A52ADDA,classic_bike,"2022-03-08 10:20:34","2022-03-08 10:28:44","New Hampshire Ave & T St NW",31229,"17th & K St NW",31213,38.915544,-77.038252,38.90276,-77.03863,member,490
AD68DE00E9638F96,classic_bike,"2022-03-08 11:24:13","2022-03-08 11:30:12","New Hampshire Ave & T St NW",31229,"17th & K St NW",31213,38.915544,-77.038252,38.90276,-77.03863,member,359
F0ADF2CFEB9795C2,classic_bike,"2022-03-07 13:54:40","2022-03-07 14:00:38","New Hampshire Ave & T St NW",31229,"17th & K St NW",31213,38.915544,-77.038252,38.90276,-77.03863,member,358
CCFC30417AEEFFF5,classic_bike,"2022-03-08 17:44:40","2022-03-08 17:47:57","New Hampshire Ave & T St NW",31229,"17th & P St NW",31330,38.915544,-77.038252,38.909858,-77.038566,member,197
20BAB6E256A64569,classic_bike,"2022-03-07 09:01:39","2022-03-07 09:06:31","New Hampshire Ave & T St NW",31229,"17th & P St NW",31330,38.915544,-77.038252,38.909858,-77.038566,member,292
6E00DAB04AD9B98D,classic_bike,"2022-03-07 09:24:02","2022-03-07 09:28:29","New Hampshire Ave & T St NW",31229,"17th & P St NW",31330,38.915544,-77.038252,38.909858,-77.038566,casual,267
FE28AEAEA09A45EF,classic_bike,"2022-03-07 16:23:15","2022-03-07 17:06:12","37th & O St NW / Georgetown University",31236,"37th & O St NW / Georgetown University",31236,38.90774,-77.071652,38.90774,-77.071652,casual,2577
3E415862C2041EB4,classic_bike,"2022-03-07 12:32:21","2022-03-07 12:44:05","37th & O St NW / Georgetown University",31236,"37th & O St NW / Georgetown University",31236,38.90774,-77.071652,38.90774,-77.071652,member,704
4B87499595FA5D08,classic_bike,"2022-03-07 15:09:30","2022-03-07 15:41:35","25th St & Pennsylvania Ave NW",31237,"25th St & Pennsylvania Ave NW",31237,38.903827,-77.053485,38.903827,-77.053485,member,1925
57C77780320CE6F7,classic_bike,"2022-03-07 09:28:22","2022-03-07 10:05:22","25th St & Pennsylvania Ave NW",31237,"25th St & Pennsylvania Ave NW",31237,38.903827,-77.053485,38.903827,-77.053485,member,2220
648020498092A3E8,docked_bike,"2022-03-07 10:45:54","2022-03-07 11:38:48","4th & E St SW",31244,"Jefferson Memorial",31249,38.88412,-77.017445,38.879819,-77.037413,casual,3174
D070B06A05F3A7A3,classic_bike,"2022-03-07 10:47:37","2022-03-07 12:16:17","4th & E St SW",31244,"Jefferson Memorial",31249,38.88412,-77.017445,38.879819,-77.037413,casual,5320
4F3860312028564D,classic_bike,"2022-03-07 10:46:50","2022-03-07 11:34:38","4th & E St SW",31244,"Jefferson Memorial",31249,38.88412,-77.017445,38.879819,-77.037413,casual,2868
6280A599AAF4FF25,classic_bike,"2022-03-07 10:46:05","2022-03-07 11:34:21","4th & E St SW",31244,"Jefferson Memorial",31249,38.88412,-77.017445,38.879819,-77.037413,casual,2896
0197BDE4FAC219DF,classic_bike,"2022-03-07 10:59:13","2022-03-07 11:05:09","Jefferson Dr & 14th St SW",31247,"15th St & Pennsylvania Ave NW",31129,38.8885525,-77.032427,38.8964647474865,-77.0333808660507,casual,356
8EC260AA29B47928,classic_bike,"2022-03-07 10:59:16","2022-03-07 11:05:08","Jefferson Dr & 14th St SW",31247,"15th St & Pennsylvania Ave NW",31129,38.8885525,-77.032427,38.8964647474865,-77.0333808660507,casual,352
